ASX code,Company name,Listing date,GICs industry group,Market Cap
KWR,KINGWEST RESOURCES LIMITED,24/8/18,Materials,17374338
KYK,KYCKR LIMITED,7/9/16,Software & Services,15129394
KZA,KAZIA THERAPEUTICS LIMITED,1/9/94,"Pharmaceuticals, Biotechnology & Life Sciences",169666828
KZR,KALAMAZOO RESOURCES LIMITED,16/1/17,Materials,50943345
LAM,LARAMIDE RESOURCES LTD,30/4/13,Energy,92014990
LAU,LINDSAY AUSTRALIA LIMITED,5/7/94,Transportation,115549853
LAW,LAWFINANCE LIMITED,12/5/00,Diversified Financials,40974594
LBL,LASERBOND LIMITED,17/12/07,Capital Goods,94134305
LBT,LBT INNOVATIONS LIMITED,31/7/06,Health Care Equipment & Services,31802668
LBY,LAYBUY GROUP HOLDINGS LIMITED,7/9/20,Software & Services,120869545
LCD,LATITUDE CONSOLIDATED LIMITED,21/12/99,Materials,53025381
LCE,LONDON CITY EQUITIES LIMITED,6/3/87,Diversified Financials,13605660
LCK,LEIGH CREEK ENERGY LIMITED,17/3/05,Energy,107576644
LCL,LOS CERROS LIMITED,2/10/07,Materials,87742019
LCT,LIVING CELL TECHNOLOGIES LIMITED,1/9/04,"Pharmaceuticals, Biotechnology & Life Sciences",8000174
LCY,LEGACY IRON ORE LIMITED,8/7/08,Materials,102475816
LDR,LODE RESOURCES LTD,2/7/21,Materials,13994050
LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED,5/7/21,Health Care Equipment & Services,190693565
LEG,LEGEND MINING LIMITED,25/8/95,Materials,261737893
LEL,LITHIUM ENERGY LIMITED,19/5/21,Materials,30403800
LEP,ALE PROPERTY GROUP,12/11/03,Real Estate,977988712
LER,LEAF RESOURCES LTD,5/1/99,Materials,163990612
LEX,LEFROY EXPLORATION LIMITED,5/9/91,Materials,94977487
LFG,LIBERTY FINANCIAL GROUP,15/12/20,Banks,2261820000
LFS,LATITUDE GROUP HOLDINGS LIMITED,20/4/21,Diversified Financials,2400000000
LGL,LYNCH GROUP HOLDINGS LIMITED,6/4/21,"Food, Beverage & Tobacco",441879325
LGP,LITTLE GREEN PHARMA LTD,20/2/20,"Pharmaceuticals, Biotechnology & Life Sciences",191901557
LHB,LIONHUB GROUP LIMITED,25/10/06,Real Estate,N/A
LHM,LAND & HOMES GROUP LIMITED,5/10/04,Real Estate,12592671
LIC,LIFESTYLE COMMUNITIES LIMITED,15/12/98,Real Estate,1567131514
LIN,LINDIAN RESOURCES LIMITED,2/3/00,Materials,15706651
LIO,LION ENERGY LIMITED,15/2/72,Energy,13583952
LIT,LITHIUM AUSTRALIA NL,30/10/07,Materials,104340277
LITCF,LITHIUM AUSTRALIA NL,30/10/07,Materials,104340277
LITNB,LITHIUM AUSTRALIA NL,30/10/07,Materials,
LKE,LAKE RESOURCES N.L.,29/8/01,Materials,386198224
LKO,LAKES BLUE ENERGY NL,5/12/85,Energy,N/A
LKY,LOCKSLEY RESOURCES LIMITED,8/7/21,Materials,11760000
LLC,LENDLEASE GROUP,30/6/62,Real Estate,8042679236
LLO,LION ONE METALS LIMITED,7/6/13,Materials,197028585
LM8,LUNNON METALS LIMITED,16/6/21,Materials,60736238
LME,"LIMEADE, INC.",20/12/19,Software & Services,190384099
LMG,LATROBE MAGNESIUM LIMITED,18/12/86,Materials,22335233
LML,LINCOLN MINERALS LIMITED,9/3/07,Materials,N/A
LNK,LINK ADMINISTRATION HOLDINGS LIMITED,27/10/15,Software & Services,2643595028
LNU,LINIUS TECHNOLOGIES LIMITED,26/7/11,Software & Services,33090817
LNY,LANEWAY RESOURCES LTD,2/4/87,Materials,19520330
LOM,LUCAPA DIAMOND COMPANY LIMITED,19/12/06,Materials,57321560
LOT,LOTUS RESOURCES LIMITED,18/2/09,Materials,152968721
LOV,LOVISA HOLDINGS LIMITED,18/12/14,Retailing,1687116442
LPD,LEPIDICO LTD,19/4/94,Materials,73824989
LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,11/10/11,Utilities,11319252
LPI,LITHIUM POWER INTERNATIONAL LIMITED,24/6/16,Materials,75269385
LRK,LARK DISTILLING CO. LTD,12/11/03,"Food, Beverage & Tobacco",257438551
LRS,LATIN RESOURCES LIMITED,21/9/10,Materials,66696766
LRT,LOWELL RESOURCES FUND,22/3/18,Not Applic,43057356
LSA,LACHLAN STAR LIMITED,28/7/71,Materials,49588996
LSF,L1 LONG SHORT FUND LIMITED,24/4/18,Not Applic,1559011056
LSH,LIFESPOT HEALTH LTD,11/1/17,Health Care Equipment & Services,16172828
LSR,LODESTAR MINERALS LIMITED,21/12/07,Materials,12909373
LSX,LION SELECTION GROUP LIMITED.,13/3/13,Not Applic,67563572
LTR,LIONTOWN RESOURCES LIMITED,27/12/06,Materials,1464786035
LV1,LIVE VERDURE LTD,14/12/20,"Food, Beverage & Tobacco",12706879
LVE,LOVE GROUP GLOBAL LTD,5/12/14,Software & Services,4053417
LVH,LIVEHIRE LIMITED,10/6/16,Software & Services,117620839
LVT,LIVETILES LIMITED,17/8/99,Software & Services,150544252
LYC,LYNAS RARE EARTHS LIMITED,11/9/86,Materials,5460536189
LYL,LYCOPODIUM LIMITED,17/12/04,Capital Goods,201880348
M24,MAMBA EXPLORATION LIMITED,5/2/21,Materials,11891751
M2R,MIRAMAR RESOURCES LIMITED,22/10/20,Class Pend,11012020
M7T,MACH7 TECHNOLOGIES LIMITED,30/11/05,Health Care Equipment & Services,233977640
M8S,M8 SUSTAINABLE LIMITED,11/12/19,Commercial & Professional Services,5830746
MAD,MADER GROUP LIMITED,1/10/19,Commercial & Professional Services,180000000
MAF,MA FINANCIAL GROUP LIMITED,10/4/17,Diversified Financials,853289124
MAG,MAGMATIC RESOURCES LIMITED,19/5/17,Materials,34047159
MAH,MACMAHON HOLDINGS LIMITED,1/12/83,Materials,452547022
MAI,MAINSTREAM GROUP HOLDINGS LIMITED,1/10/15,Diversified Financials,376984171
MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,30/4/18,Diversified Financials,96286282
MAN,MANDRAKE RESOURCES LIMITED,29/5/87,Materials,51051357
MAQ,MACQUARIE TELECOM GROUP LIMITED,27/9/99,Telecommunication Services,1448701497
MAT,MATSA RESOURCES LIMITED,20/4/05,Materials,25908945
MAU,MAGNETIC RESOURCES NL,5/4/07,Materials,327260235
MAUCA,MAGNETIC RESOURCES NL,5/4/07,Materials,327260235
MAX,MILLINIUM'S ALTERNATIVES FUND.,20/12/06,Not Applic,N/A
MAY,MELBANA ENERGY LIMITED,27/3/98,Energy,53287582
MBH,MAGGIE BEER HOLDINGS LTD,27/8/04,"Food, Beverage & Tobacco",143972008
MBK,METAL BANK LIMITED,2/3/11,Materials,10701615
MCA,MURRAY COD AUSTRALIA LIMITED,30/3/11,"Food, Beverage & Tobacco",216206992
MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,16/11/09,Energy,16883036
MCL,MIGHTY CRAFT LIMITED,17/12/19,"Food, Beverage & Tobacco",70861417
MCM,MC MINING LIMITED,24/4/80,Energy,17758249
MCP,MCPHERSON'S LIMITED,30/6/62,Household & Personal Products,148305996
MCR,MINCOR RESOURCES NL,16/6/97,Materials,490736651
MCT,METALICITY LIMITED,21/12/05,Materials,26789644
MCX,MARINER CORPORATION LIMITED,20/6/86,Diversified Financials,2883193
MCY,MERCURY NZ LIMITED,10/5/13,Utilities,8337281710
MDC,MEDLAB CLINICAL LIMITED,14/7/15,"Pharmaceuticals, Biotechnology & Life Sciences",53037229
MDI,MIDDLE ISLAND RESOURCES LIMITED,16/12/10,Materials,14690187
MDR,MEDADVISOR LIMITED,26/5/11,Health Care Equipment & Services,115101820
MDX,MINDAX LIMITED,8/12/04,Materials,131105504
MEA,MCGRATH LIMITED,7/12/15,Real Estate,93435964
MEB,MEDIBIO LIMITED,29/1/01,Health Care Equipment & Services,15258023
MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED,3/5/17,Diversified Financials,65927069
MEG,MEGADO GOLD LIMITED,27/10/20,Materials,8580000
MEI,METEORIC RESOURCES NL,16/7/04,Materials,67895868
MEL,METGASCO LTD,23/12/04,Energy,14290885
MEM,MEMPHASYS LIMITED.,14/5/07,"Pharmaceuticals, Biotechnology & Life Sciences",53184172
MEP,MINOTAUR EXPLORATION LTD,24/2/05,Materials,52640611
MEU,MARMOTA LIMITED,21/11/07,Energy,47458151
MEZ,MERIDIAN ENERGY LIMITED,29/10/13,Utilities,12759328507
MFB,MY FOOD BAG GROUP LIMITED,5/3/21,Retailing,303046905
MFD,MAYFIELD CHILDCARE LIMITED,30/11/16,Consumer Services,34665096
MFF,MFF CAPITAL INVESTMENTS LIMITED,19/12/06,Not Applic,1659080873
MFG,MAGELLAN FINANCIAL GROUP LIMITED,1/7/04,Diversified Financials,9823776098
MGF,MAGELLAN GLOBAL FUND.,30/11/20,Class Pend,3029251449
MGH,MAAS GROUP HOLDINGS LIMITED,4/12/20,Capital Goods,1378775005
MGL,MAGONTEC LIMITED,7/7/83,Materials,19565722
MGR,MIRVAC GROUP,16/6/99,Real Estate,11182660488
MGT,MAGNETITE MINES LIMITED.,6/4/06,Materials,141404217
MGU,MAGNUM MINING AND EXPLORATION LIMITED,23/4/87,Materials,77635117
MGV,MUSGRAVE MINERALS LIMITED,29/4/11,Materials,191960262
MGX,MOUNT GIBSON IRON LIMITED,12/2/76,Materials,1116701461
MHC,MANHATTAN CORPORATION LIMITED,29/1/08,Energy,21367902
MHH,MAGELLAN HIGH CONVICTION TRUST,11/10/19,Not Applic,992675283
MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,31/10/94,Consumer Durables & Apparel,4713325
MHJ,MICHAEL HILL INTERNATIONAL LIMITED,7/7/16,Retailing,316335851
MHK,METAL HAWK LIMITED.,19/11/20,Materials,12048113
MIH,MNC MEDIA INVESTMENT LTD,13/9/13,Media & Entertainment,N/A
MIL,MILLENNIUM SERVICES GROUP LIMITED,19/11/15,Commercial & Professional Services,24606977
MIN,MINERAL RESOURCES LIMITED,28/7/06,Materials,11512894902
MIO,MACARTHUR MINERALS LIMITED,6/12/19,Materials,78743916
MIR,MIRRABOOKA INVESTMENTS LIMITED,28/6/01,Not Applic,677999317
MIRNA,MIRRABOOKA INVESTMENTS LIMITED,28/6/01,Not Applic,677999317
MKG,MAKO GOLD LIMITED,16/4/18,Materials,27975024
MKL,MIGHTY KINGDOM LIMITED,21/4/21,Media & Entertainment,28819674
MKR,MANUKA RESOURCES LTD.,14/7/20,Materials,79459345
MLD,MACA LIMITED,3/11/10,Materials,304122653
MLG,MLG OZ LIMITED,4/5/21,Materials,128188863
MLM,METALLICA MINERALS LIMITED,23/11/04,Materials,18962914
MLS,METALS AUSTRALIA LTD,23/1/86,Materials,8454376
MLT,MILTON CORPORATION LIMITED,17/4/62,Not Applic,4193712864
MLX,METALS X LIMITED,26/8/04,Materials,217743856
MM8,MEDALLION METALS LIMITED.,22/3/21,Materials,46893700
MME,MONEYME LIMITED,12/12/19,Diversified Financials,363452802
MMG,MONGER GOLD LTD,6/7/21,Materials,7280000
MMI,METRO MINING LIMITED,4/12/09,Materials,34735257
MMJ,MMJ GROUP HOLDINGS LIMITED,22/1/15,Not Applic,18396319
MML,MEDUSA MINING LIMITED,23/12/03,Materials,192282803
MMM,MARLEY SPOON AG,2/7/18,Consumer Services,727111000
MMR,MEC RESOURCES LIMITED,29/5/06,Energy,N/A
MMS,MCMILLAN SHAKESPEARE LIMITED,15/3/04,Commercial & Professional Services,990478170
MNB,MINBOS RESOURCES LIMITED,18/10/10,Materials,38514730
MND,MONADELPHOUS GROUP LIMITED,28/3/91,Capital Goods,1030795449
MNF,MNF GROUP LIMITED,18/5/06,Telecommunication Services,452999223
MNS,MAGNIS ENERGY TECHNOLOGIES LTD,25/10/05,Materials,251173191
MNY,MONEY3 CORPORATION LIMITED,19/10/06,Diversified Financials,644807589
MOB,MOBILICOM LIMITED,2/5/17,Technology Hardware & Equipment,18350393
MOH,MOHO RESOURCES LIMITED,7/11/18,Materials,7126003
MOQ,MOQ LIMITED,19/12/00,Software & Services,41741193
MOT,MCP INCOME OPPORTUNITIES TRUST,29/4/19,Not Applic,354115730
MOZ,MOSAIC BRANDS LIMITED,11/5/00,Retailing,54131241
MP1,MEGAPORT LIMITED,17/12/15,Software & Services,2527590804
MPA,MAD PAWS HOLDINGS LIMITED,26/3/21,Retailing,41519558
MPH,MEDILAND PHARM LIMITED,22/2/19,Retailing,21893453
MPL,MEDIBANK PRIVATE LIMITED,25/11/14,Insurance,9005590595
MPP,METRO PERFORMANCE GLASS LIMITED,30/7/14,Capital Goods,79712577
MPR,MPOWER GROUP LIMITED,1/1/74,Diversified Financials,17492796
MPX,MUSTERA PROPERTY GROUP LIMITED,28/11/14,Real Estate,29056555
MPXN,MUSTERA PROPERTY GROUP LIMITED,28/11/14,Real Estate,29056555
MQG,MACQUARIE GROUP LIMITED,5/11/07,Diversified Financials,56677214696
MQR,MARQUEE RESOURCES LIMITED,15/3/17,Materials,6595056
MR1,MONTEM RESOURCES LIMITED.,15/9/20,Class Pend,11709865
MRC,MINERAL COMMODITIES LTD,14/8/81,Materials,69685778
MRD,MOUNT RIDLEY MINES LIMITED,15/9/04,Materials,15045371
MRG,MURRAY RIVER ORGANICS GROUP LIMITED,16/12/16,"Food, Beverage & Tobacco",8161301
MRL,MAYUR RESOURCES LIMITED,21/9/17,Materials,40170154
MRM,MMA OFFSHORE LIMITED,21/6/99,Energy,132951447
MRQ,MRG METALS LIMITED,8/6/11,Materials,12325359
MRR,MINREX RESOURCES LIMITED,11/11/11,Materials,9920467
MRZ,MONT ROYAL RESOURCES LIMITED,7/5/19,Materials,9090412
MSB,MESOBLAST LIMITED,16/12/04,"Pharmaceuticals, Biotechnology & Life Sciences",1287661699
MSG,MCS SERVICES LIMITED,17/1/12,Commercial & Professional Services,11176473
MSI,MULTISTACK INTERNATIONAL LIMITED,11/2/93,Capital Goods,7187451
MSL,MSL SOLUTIONS LIMITED.,4/5/17,Software & Services,51036971
MSM,MSM CORPORATION INTERNATIONAL LTD,20/11/96,Media & Entertainment,N/A
MSR,MANAS RESOURCES LIMITED,22/7/08,Materials,33156236
MSV,MITCHELL SERVICES LIMITED,2/8/11,Materials,92978745
MTB,MOUNT BURGESS MINING NL,5/9/85,Materials,5314198
MTC,METALSTECH LIMITED,24/2/17,Materials,38082633
MTH,MITHRIL RESOURCES LIMITED,18/11/02,Materials,39953962
MTM,MT MONGER RESOURCES LIMITED,15/7/21,Materials,8375250
MTO,MOTORCYCLE HOLDINGS LIMITED,29/4/16,Retailing,170310520
MTR,METAL TIGER PLC,27/5/21,Materials,77955031
MTS,METCASH LIMITED,8/4/05,Food & Staples Retailing,4058780399
MVF,MONASH IVF GROUP LIMITED,26/6/14,Health Care Equipment & Services,319500569
MVL,MARVEL GOLD LIMITED,14/6/16,Materials,27975423
MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,15/12/03,"Pharmaceuticals, Biotechnology & Life Sciences",311426617
MWY,MIDWAY LIMITED,8/12/16,Materials,95196482
MX1,MICRO-X LIMITED,22/12/15,Health Care Equipment & Services,151701574
MXC,MGC PHARMACEUTICALS LTD,21/12/06,"Pharmaceuticals, Biotechnology & Life Sciences",90665291
MXI,MAXITRANS INDUSTRIES LIMITED,7/12/94,Capital Goods,86985557
MXO,MOTIO LTD,9/5/11,Media & Entertainment,0
MXR,MAXIMUS RESOURCES LIMITED,26/10/05,Materials,10227077
MXT,MCP MASTER INCOME TRUST,9/10/17,Not Applic,1500723203
MYD,MYDEAL.COM.AU LIMITED,22/10/20,Retailing,169531885
MYE,MASTERMYNE GROUP LIMITED,7/5/10,Materials,95055409
MYG,MAYFIELD GROUP HOLDINGS LIMITED,30/10/86,Capital Goods,37560989
MYL,MYANMAR METALS LIMITED,3/12/07,Materials,N/A
MYR,MYER HOLDINGS LIMITED,2/11/09,Retailing,394213831
MYS,MYSTATE LIMITED,10/9/09,Banks,505320442
MYX,MAYNE PHARMA GROUP LIMITED,29/6/07,"Pharmaceuticals, Biotechnology & Life Sciences",573573246
MZZ,MATADOR MINING LIMITED,8/3/17,Materials,90311868
N1H,N1 HOLDINGS LIMITED,18/3/16,Banks,6361335
NAB,NATIONAL AUSTRALIA BANK LIMITED,31/1/62,Banks,85847691313
NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,12/11/14,Not Applic,54313476
NAE,NEW AGE EXPLORATION LIMITED,18/2/94,Energy,17140787
NAG,NAGAMBIE RESOURCES LIMITED,23/6/06,Materials,45993776
NAM,NAMOI COTTON LIMITED,6/4/98,Commercial & Professional Services,69578872
NAN,NANOSONICS LIMITED,17/5/07,Health Care Equipment & Services,1606808551
NBI,NB GLOBAL CORPORATE INCOME TRUST,26/9/18,Not Applic,847616123
NC6,NANOLLOSE LIMITED,18/10/17,"Pharmaceuticals, Biotechnology & Life Sciences",13381773
NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,26/2/13,Not Applic,77694747
NCK,NICK SCALI LIMITED,26/5/04,Retailing,886140000
NCL,NETCCENTRIC LIMITED,6/7/15,Media & Entertainment,43866808
NCM,NEWCREST MINING LIMITED,4/6/87,Materials,22074994581
NCR,NUCOAL RESOURCES LIMITED,31/5/96,Materials,8454736
NCZ,NEW CENTURY RESOURCES LIMITED,8/12/10,Materials,266184170
NEA,NEARMAP LTD,7/12/00,Software & Services,1073475651
NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,6/12/13,Media & Entertainment,4451076390
NES,NELSON RESOURCES LIMITED.,7/12/17,Materials,7710079
NET,NETLINKZ LIMITED,13/1/11,Software & Services,112618494
NEU,NEUREN PHARMACEUTICALS LIMITED,3/2/05,"Pharmaceuticals, Biotechnology & Life Sciences",182292567
NEW,,4/12/17,Utilities,
NGE,NGE CAPITAL LIMITED,28/12/07,Not Applic,24255569
NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,28/4/06,Diversified Financials,360756521
NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,30/10/20,Household & Personal Products,28887861
NGY,NUENERGY GAS LIMITED,15/1/87,Energy,51833442
NHC,NEW HOPE CORPORATION LIMITED,16/9/03,Energy,1577316670
NHF,NIB HOLDINGS LIMITED,5/11/07,Insurance,2975324320
NIC,NICKEL MINES LIMITED,20/8/18,Materials,2753956811
NKL,NICKELX LIMITED,7/5/21,Materials,12691001
NME,NEX METALS EXPLORATION LIMITED,6/12/07,Materials,11749039
NML,NAVARRE MINERALS LIMITED,31/3/11,Materials,66736526
NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,16/11/20,Materials,19616355
NMT,NEOMETALS LTD,10/7/02,Materials,293381372
NNG,NEXION GROUP LTD,18/2/21,Software & Services,20032823
NOR,NORWOOD SYSTEMS LIMITED,27/6/95,Software & Services,4997092
NOV,NOVATTI GROUP LIMITED,18/1/16,Software & Services,157626681
NOX,NOXOPHARM LIMITED,9/8/16,"Pharmaceuticals, Biotechnology & Life Sciences",178697471
NPM,NEWPEAK METALS LIMITED,11/4/11,Materials,11408323
NRX,NORONEX LIMITED,15/11/17,Materials,24255148
NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,27/7/18,"Pharmaceuticals, Biotechnology & Life Sciences",47345642
NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,25/3/04,Not Applic,153280116
NSE,NEW STANDARD ENERGY LIMITED,15/8/07,Energy,N/A
NSM,NORTH STAWELL MINERALS LTD,24/9/20,Class Pend,42000000
NSR,NATIONAL STORAGE REIT,19/12/13,Real Estate,2496277827
NST,NORTHERN STAR RESOURCES LTD,17/12/03,Materials,12625998731
NSX,NSX LIMITED,13/1/05,Diversified Financials,38522831
NTD,NATIONAL TYRE & WHEEL LIMITED,15/12/17,Retailing,133153515
NTI,NEUROTECH INTERNATIONAL LIMITED,4/11/16,Health Care Equipment & Services,39021871
NTL,NEW TALISMAN GOLD MINES LIMITED,28/5/87,Materials,9772789
NTO,NITRO SOFTWARE LIMITED,11/12/19,Software & Services,657864497
NTU,NORTHERN MINERALS LIMITED,15/11/06,Materials,179304456
NUC,NUCHEV LIMITED,9/12/19,"Food, Beverage & Tobacco",28976863
NUF,NUFARM LIMITED,10/11/88,Materials,1708891178
NUH,NUHEARA LIMITED,5/3/10,Technology Hardware & Equipment,72483735
NUS,NUSANTARA RESOURCES LIMITED,2/8/17,Materials,77952822
NVA,NOVA MINERALS LIMITED,11/6/87,Materials,210118331
NVU,NANOVEU LIMITED,30/11/18,Technology Hardware & Equipment,7906640
NVX,NOVONIX LIMITED,2/12/15,Technology Hardware & Equipment,1120745834
NWC,NEW WORLD RESOURCES LIMITED,21/9/05,Materials,125159169
NWE,NORWEST ENERGY NL,19/9/97,Energy,55826735
NWF,NEWFIELD RESOURCES LIMITED,8/6/12,Materials,217987332
NWH,NRW HOLDINGS LIMITED,5/9/07,Capital Goods,791799382
NWL,NETWEALTH GROUP LIMITED,20/11/17,Diversified Financials,4132455053
NWM,NORWEST MINERALS LIMITED,29/11/18,Materials,9686776
NWS,NEWS CORPORATION..,19/6/13,Media & Entertainment,18611313987
NWSLV,NEWS CORPORATION..,19/6/13,Media & Entertainment,18611313987
NXE,NEW ENERGY MINERALS LTD,10/5/02,Materials,N/A
NXG,NEXGEN ENERGY (CANADA) LTD,2/7/21,Energy,2520634500
NXL,NUIX LIMITED,4/12/20,Software & Services,793286985
NXM,NEXUS MINERALS LIMITED,23/2/07,Materials,23926864
NXS,NEXT SCIENCE LIMITED,18/4/19,Health Care Equipment & Services,316758254
NXT,NEXTDC LIMITED,13/12/10,Software & Services,5521078302
NYR,NYRADA INC.,16/1/20,"Pharmaceuticals, Biotechnology & Life Sciences",48362697
NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,19/10/16,"Food, Beverage & Tobacco",193884961
NZM,NZME LIMITED,27/6/16,Media & Entertainment,166946702
NZO,NEW ZEALAND OIL & GAS LIMITED,25/9/20,Energy,65461000
NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,19/6/07,"Food, Beverage & Tobacco",10751065
OAK,OAKRIDGE INTERNATIONAL LIMITED,22/6/07,Software & Services,3439293
OAR,OAR RESOURCES LIMITED,17/12/98,Materials,25669706
OAU,ORA GOLD LIMITED,22/3/01,Materials,15999809
OBL,OMNI BRIDGEWAY LIMITED,28/1/00,Diversified Financials,920253460
OBM,ORA BANDA MINING LTD,29/10/02,Materials,150837672
OCA,OCEANIA HEALTHCARE LIMITED,5/5/17,Health Care Equipment & Services,1017229046
OCC,ORTHOCELL LIMITED,12/8/14,"Pharmaceuticals, Biotechnology & Life Sciences",102915442
OCL,OBJECTIVE CORPORATION LIMITED,17/8/00,Software & Services,1616816174
ODA,ORCODA LIMITED,15/9/86,Software & Services,20663012
ODM,ODIN METALS LIMITED,5/8/10,Materials,17151085
ODY,ODYSSEY GOLD LTD,30/11/05,Materials,64294698
OEC,ORBITAL CORPORATION LIMITED,24/1/89,Capital Goods,70669486
OEL,OTTO ENERGY LIMITED,22/12/04,Energy,47950098
OEQ,ORION EQUITIES LIMITED,19/11/70,Diversified Financials,5477230
OEX,OILEX LTD,24/10/03,Energy,22743886
OFX,OFX GROUP LIMITED,11/10/13,Diversified Financials,368229602
OGA,OCEAN GROWN ABALONE LIMITED,14/11/17,"Food, Beverage & Tobacco",17866107
OGC,OCEANAGOLD CORPORATION,19/6/07,Materials,1815868588
OIL,OPTISCAN IMAGING LIMITED,8/8/97,Health Care Equipment & Services,138658635
OKJ,OAKAJEE CORPORATION LIMITED,11/6/08,Materials,6858452
OKR,OKAPI RESOURCES LIMITED,28/9/17,Materials,16804819
OKU,OKLO RESOURCES LIMITED,16/5/07,Materials,60483577
OLH,OLDFIELDS HOLDINGS LIMITED,15/6/60,Capital Goods,10062392
OLI,OLIVER'S REAL FOOD LIMITED,21/6/17,Consumer Services,N/A
OLL,OPENLEARNING LIMITED,12/12/19,Software & Services,20093058
OMH,OM HOLDINGS LIMITED,12/3/98,Materials,624136720
OML,OOH!MEDIA LIMITED,17/12/14,Media & Entertainment,936880791
ONE,ONEVIEW HEALTHCARE PLC,17/3/16,Health Care Equipment & Services,160308144
ONT,1300 SMILES LIMITED,11/3/05,Health Care Equipment & Services,162196930
ONX,ORMINEX LTD,28/7/71,Materials,24107359
OOK,OOKAMI LIMITED,21/2/00,Software & Services,9537081
OPH,OPHIR HIGH CONVICTION FUND,19/12/18,Not Applic,775998479
OPL,OPYL LIMITED,7/3/96,Software & Services,9517442
OPT,OPTHEA LIMITED,18/4/91,"Pharmaceuticals, Biotechnology & Life Sciences",456304603
OPY,OPENPAY GROUP LTD,16/12/19,Diversified Financials,183737071
ORA,ORORA LIMITED,18/12/13,Materials,2987247920
ORE,OROCOBRE LIMITED,4/12/07,Materials,2517240328
ORG,ORIGIN ENERGY LIMITED,13/7/61,Energy,7995898262
ORI,ORICA LIMITED,28/11/61,Materials,5448450134
ORM,ORION METALS LIMITED,3/1/07,Materials,9266657
ORN,ORION MINERALS LTD,31/10/03,Materials,133830599
ORR,ORECORP LIMITED,4/8/11,Materials,311166738
OSH,OIL SEARCH LIMITED,1/1/74,Energy,8082839083
OSL,ONCOSIL MEDICAL LTD,15/8/05,"Pharmaceuticals, Biotechnology & Life Sciences",50232628
OSP,OSPREY MEDICAL INC,2/5/12,Health Care Equipment & Services,38486704
OSX,OSTEOPORE LIMITED,23/9/19,Health Care Equipment & Services,55116072
OTW,OVER THE WIRE HOLDINGS LIMITED,3/12/15,Software & Services,275771259
OVN,OVENTUS MEDICAL LIMITED,19/7/16,Health Care Equipment & Services,25381286
OVT,OVATO LIMITED,13/2/92,Commercial & Professional Services,36638437
OXX,OCTANEX LIMITED,6/11/09,Energy,8287286
OZG,OZGROWTH LIMITED,2/1/08,Not Applic,84159490
OZL,OZ MINERALS LIMITED,1/1/70,Materials,7332492935
OZM,OZAURUM RESOURCES LIMITED,8/2/21,Materials,16030000
OZZ,OZZ RESOURCES LIMITED,5/7/21,Materials,6996216
PAA,PHARMAUST LIMITED,5/10/01,"Pharmaceuticals, Biotechnology & Life Sciences",29455883
PAB,PATRYS LIMITED,13/7/07,"Pharmaceuticals, Biotechnology & Life Sciences",96438636
PAC,PACIFIC CURRENT GROUP LIMITED,25/9/87,Diversified Financials,294807295
PAF,PM CAPITAL ASIAN OPPORTUNITIES FUND LIMITED,22/5/14,Not Applic,56371887
PAI,PLATINUM ASIA INVESTMENTS LIMITED,21/9/15,Not Applic,449593217
PAK,PACIFIC AMERICAN HOLDINGS LIMITED,20/12/07,Materials,5415943
PAL,PALLA PHARMA LIMITED,13/8/15,"Pharmaceuticals, Biotechnology & Life Sciences",61527002
PAM,PAN ASIA METALS LIMITED,8/10/20,Materials,16457219
PAN,PANORAMIC RESOURCES LIMITED,14/9/01,Materials,317891671
PAR,PARADIGM BIOPHARMACEUTICALS LIMITED..,19/8/15,"Pharmaceuticals, Biotechnology & Life Sciences",459211596
PBH,POINTSBET HOLDINGS LIMITED,12/6/19,Consumer Services,2494943697
PBP,PROBIOTEC LIMITED,14/11/06,"Pharmaceuticals, Biotechnology & Life Sciences",163203884
PBX,PACIFIC BAUXITE LIMITED,25/5/07,Materials,N/A
PCG,PENGANA CAPITAL GROUP LIMITED,28/2/01,Diversified Financials,164063630
PCH,PROPERTY CONNECT HOLDINGS LIMITED,23/2/00,Media & Entertainment,685863
PCI,PERPETUAL CREDIT INCOME TRUST,14/5/19,Not Applic,424543510
PCK,PAINCHEK LTD,1/5/12,Health Care Equipment & Services,67608288
PCL,PANCONTINENTAL OIL & GAS NL,11/9/86,Energy,6006715
PDI,PREDICTIVE DISCOVERY LIMITED,1/12/10,Materials,120506717
